reseller_id,reseller_name,business_type,email,country
11000,JON YANG,Professional,jon24@adventure-works.com,United States
11001,EUGENE HUANG,Professional,eugene10@adventure-works.com,United States
11002,RUBEN TORRES,Professional,ruben35@adventure-works.com,United States
11003,CHRISTY ZHU,Professional,christy12@adventure-works.com,United States
11004,ELIZABETH JOHNSON,Professional,elizabeth5@adventure-works.com,United States
11005,JULIO RUIZ,Professional,julio1@adventure-works.com,United States
11007,MARCO MEHTA,Professional,marco14@adventure-works.com,United States
11008,ROBIN VERHOFF,Professional,rob4@adventure-works.com,United States
11009,SHANNON CARLSON,Professional,shannon38@adventure-works.com,United States
11010,JACQUELYN SUAREZ,Professional,jacquelyn20@adventure-works.com,United States
11011,CURTIS LU,Professional,curtis9@adventure-works.com,United States
11012,LAUREN WALKER,Management,lauren41@adventure-works.com,United States
11013,IAN JENKINS,Management,ian47@adventure-works.com,United States
11014,SYDNEY BENNETT,Management,sydney23@adventure-works.com,United States
11015,CHLOE YOUNG,Skilled Manual,chloe23@adventure-works.com,United States
11016,WYATT HILL,Skilled Manual,wyatt32@adventure-works.com,United States
11017,SHANNON WANG,Skilled Manual,shannon1@adventure-works.com,United States
11018,CLARENCE RAI,Clerical,clarence32@adventure-works.com,United States
11019,LUKE LAL,Skilled Manual,luke18@adventure-works.com,United States
11020,JORDAN KING,Skilled Manual,jordan73@adventure-works.com,United States
11021,DESTINY WILSON,Skilled Manual,destiny7@adventure-works.com,United States
11022,ETHAN ZHANG,Skilled Manual,ethan20@adventure-works.com,United States
11023,SETH EDWARDS,Skilled Manual,seth46@adventure-works.com,United States
11024,RUSSELL XIE,Skilled Manual,russell7@adventure-works.com,United States
11025,ALEJANDRO BECK,Clerical,alejandro45@adventure-works.com,United States
11026,HAROLD SAI,Clerical,harold3@adventure-works.com,United States
11027,JESSIE ZHAO,Clerical,jessie16@adventure-works.com,United States
11028,JILL JIMENEZ,Clerical,jill13@adventure-works.com,United States
11029,JIMMY MORENO,Clerical,jimmy9@adventure-works.com,United States
11030,BETHANY YUAN,Clerical,bethany10@adventure-works.com,United States
11031,THERESA RAMOS,Skilled Manual,theresa13@adventure-works.com,United States
11032,DENISE STONE,Skilled Manual,denise10@adventure-works.com,United States
11033,JAIME NATH,Skilled Manual,jaime41@adventure-works.com,United States
11034,EBONY GONZALEZ,Skilled Manual,ebony19@adventure-works.com,United States
11035,WENDY DOMINGUEZ,Clerical,wendy12@adventure-works.com,United States
11036,JENNIFER RUSSELL,Skilled Manual,jennifer93@adventure-works.com,United States
