EmployeeKey	EmployeeID	Salesperson	Title	UPN
282	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
272	502097814	Stephen Jiang	North American Sales Manager	stephen-jiang@adventureworks.com
294	481044938	Syed Abbas	Pacific Sales Manager	syed-abbas@adventureowrks.com
294	481044938	Syed Abbas	Pacific Sales Manager	syed-abbas@adventureworks.com
281	841560125	Michael Blythe	Sales Representative	michael-blythe@adventureworks.com
""
293	90836195	Tete Mensa-Annan	Sales Representative	tete-mensa-annan@adventureworks.com
292	134219713	Ranjit Varkey Chudukatil	Sales Representative	ranjit-avrkey-chudukatil@adventureworks.com
282	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
""
294	481044938	Syed Abbsa	Pacific Sales Manager	syed-abbas@adventureworks.com
288	399771412	José Saraiva	Sales Representative	jose-saraiva@adventureworks.com
285	716374314	Tsvi Reiter	Sales Representative	tsvi-reiter@adventureworks.com
287	139397894	Shu Ito	Sales Representative	shu-ito@adventureworks.com
291	668991357	Jae Pak	Sales Representative	jae-pak@adventureworks.com
290	982310417	Amy Alberts	European Sales Manager	amy-alberts@adventureworks.com
272	502097814	Stephen Jiang	North American Sales Manager	stephen-jiang@adventureworksc.om
282	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
294	481044938	Syed Abbas	Pacific Sales Manager	syed-abbas@adventureworks.com
295	954276278	Rachel Valdez	Sales Representative	rachel-valdez@adventureworks.com
291	668991357	Jae Pak	Sales Representative	jae-pak@adventureworks.com
228	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
282	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
294	481044938	Syed Abbas	Pacific Sales Manager	syed-abbas@adventureworks.com
294	481044938	Syed Abbas	Pacific Sales Manager	syed-abbas@adventureworks.com
272	502097814	Stephen Jiang	North American Sales Manager	stephen-jiang@adventureworks.com
296	758596752	Lynn Tsoflias	Sales Representative	lynn-tsoflias@adventureworks.com
283	615389812	Jillian Carson	Sales Representative	jillian-carson@adventureworks.com
296	758596752	Lynn Tsoflias	Sales Representative	lynn-tsoflias@adventureworks.com
285	716374314	Tsvi Reiter	Sales Representative	tsvi-reiter@adventureworks.com
291	669891357	Jae Pak	Sales Representative	jae-pak@adventureworks.com
282	191644724	Linda Mitchell	Sales Representative	linda-mitchell@adventureworks.com
289	987554265	David Campbell	Sales Representative	david-campbell@adventureworks.com
""
284	234474252	Garrett Vargas	Sales Representative	garrett-vargas@adventureworks.com
281	841560125	Michael Blythe	Sales Representative	michael-blythe@adventureworks.com
